	305-5-16641	304-4-78826	302-2-89334	306-6-83608	301-1-59020	taxonomy
Zotu1	309.798800916946	235.458996888157	225.889913020901	104.957697259518	381	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU248
Zotu2	261.299947099277	51.3728720483251	383.284174996755	201.312304579731	360	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;SOTU802
Zotu3	227.647681184976	49.6604429800476	368.710632221213	800.087364355343	190	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;SOTU1138
Zotu4	384.031740433786	397.283543840381	558.895365442036	128.186040095641	950	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU793
Zotu5	1981.52459883618	1595.98389163463	1447.15279761132	73.986573478021	2608	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU765
Zotu6	495.876035972492	24.8302214900238	512.260028560301	279.600423027405	63	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU250
Zotu7	250.412449303474	83.9090243455977	177.068544722835	110.979860217031	550	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU276
Zotu8	0	74.4906644700714	3538.4561859016	78.2881184476734	303	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU793
Zotu9	1776.64168576971	0	626.662339348306	10.3237079271657	430	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU793
Zotu10	183.107917474872	1288.60287387882	722.119044528106	223.680338421924	4050	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU793
Zotu11	315.737436078293	17.124290682775	58.294171102168	69.6850285083686	56	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU251
Zotu12	91.0590724739905	59.0788028555739	411.702583409061	42.1551407025933	134	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;SOTU614
Zotu13	0	130.14460918909	1078.44216539011	536.832812212617	288	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU275
Zotu14	49.48862634456	75.3468790042101	360.695183694664	122.163877138128	29	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumhalliigroup;SOTU18
Zotu15	15.8363604302592	4.28107267069376	0	102.376770277727	231	Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;SOTU568
Zotu16	230.61699876565	91.6149551528464	8.0154485265481	69.6850285083686	132	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU771
Zotu17	48.4988538176688	20.54914881933	63.3949110736077	65.3834835387162	69	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;SOTU1136
Zotu18	35.6318109680832	15.4118616144975	49.5500454368428	41.2948317086629	152	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeND3007group;SOTU1022
Zotu19	12.8670428495856	46.2355848434926	139.177333506426	0	58	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;SOTU322
Zotu20	0	234.602782354018	500.601194339868	295.946293912084	239	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;SOTU1039
Zotu21	183.107917474872	42.8107267069376	472.911463066338	123.024186132058	266	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;SOTU490
Zotu22	213.790865808499	56.5101592531576	82.3405166818123	24.9489608239838	67	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU247
Zotu23	26.7238582260624	41.0982976386601	165.409710502402	36.9932867390105	223	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;SOTU326
Zotu24	144.506788926115	223.471993410214	0	250.349917233769	138	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU765
