SampleID	Type
KORA-38678	KORA
KORA-57199	KORA
KORA-35084	KORA
KORA-57782	KORA
KORA-32385	KORA
KORA-13950	KORA
KORA-67268	KORA
KORA-75367	KORA
KORA-25888	KORA
KORA-40111	KORA
KORA-29731	KORA
KORA-14099	KORA
KORA-53126	KORA
KORA-97970	KORA
KORA-66638	KORA
KORA-58574	KORA
KORA-19631	KORA
KORA-58468	KORA
KORA-95880	KORA
KORA-42156	KORA
KORA-49408	KORA
KORA-62568	KORA
KORA-33187	KORA
KORA-94667	KORA
KORA-93934	KORA
KORA-56386	KORA
KORA-73354	KORA
KORA-36392	KORA
KORA-23303	KORA
KORA-83857	KORA
KORA-49813	KORA
KORA-41403	KORA
KORA-77653	KORA
KORA-80975	KORA
KORA-73757	KORA
KORA-86837	KORA
KORA-88873	KORA
KORA-36786	KORA
KORA-72569	KORA
KORA-68546	KORA
KORA-52048	KORA
KORA-21142	KORA
KORA-31648	KORA
KORA-91889	KORA
KORA-37093	KORA
KORA-40954	KORA
KORA-52513	KORA
KORA-54668	KORA
KORA-65948	KORA
KORA-86143	KORA
KORA-66269	KORA
KORA-48741	KORA
KORA-95727	KORA
KORA-70620	KORA
KORA-77851	KORA
KORA-67716	KORA
KORA-86341	KORA
KORA-81350	KORA
KORA-27531	KORA
KORA-18008	KORA
KORA-61743	KORA
KORA-85213	KORA
KORA-76001	KORA
KORA-34819	KORA
KORA-44607	KORA
KORA-98012	KORA
KORA-83989	KORA
KORA-84464	KORA
KORA-10590	KORA
KORA-50371	KORA
KORA-34001	KORA
KORA-45995	KORA
KORA-88627	KORA
KORA-20727	KORA
KORA-91238	KORA
KORA-55983	KORA
KORA-82504	KORA
KORA-82264	KORA
KORA-26292	KORA
KORA-58552	KORA
KORA-77936	KORA
KORA-15714	KORA
KORA-73483	KORA
KORA-16248	KORA
KORA-41717	KORA
KORA-74902	KORA
KORA-52666	KORA
KORA-99936	KORA
KORA-46273	KORA
KORA-27868	KORA
KORA-36632	KORA
KORA-41387	KORA
KORA-71557	KORA
KORA-18228	KORA
KORA-83659	KORA
KORA-51503	KORA
KORA-10076	KORA
KORA-26543	KORA
KORA-16713	KORA
KORA-35425	KORA
KORA-65861	KORA
KORA-56550	KORA
KORA-49768	KORA
KORA-46183	KORA
KORA-91734	KORA
KORA-97389	KORA
KORA-99884	KORA
KORA-75761	KORA
KORA-89594	KORA
KORA-76982	KORA
KORA-24258	KORA
KORA-19251	KORA
KORA-83711	KORA
KORA-49914	KORA
KORA-17264	KORA
KORA-57881	KORA
KORA-58401	KORA
KORA-46345	KORA
KORA-26633	KORA
KORA-12784	KORA
KORA-15148	KORA
KORA-87707	KORA
KORA-52464	KORA
KORA-38602	KORA
KORA-25350	KORA
KORA-45610	KORA
KORA-42102	KORA
KORA-68400	KORA
KORA-75341	KORA
KORA-92008	KORA
KORA-38810	KORA
KORA-83471	KORA
KORA-47452	KORA
KORA-99752	KORA
KORA-27471	KORA
KORA-70071	KORA
KORA-81820	KORA
KORA-73145	KORA
KORA-15667	KORA
KORA-30745	KORA
KORA-54209	KORA
KORA-58783	KORA
KORA-99420	KORA
KORA-31240	KORA
KORA-84677	KORA
KORA-88739	KORA
KORA-48668	KORA
KORA-87606	KORA
KORA-54091	KORA
KORA-43188	KORA
KORA-39350	KORA
KORA-84912	KORA
KORA-69075	KORA
KORA-91813	KORA
KORA-82878	KORA
KORA-34691	KORA
KORA-46438	KORA
KORA-75121	KORA
KORA-47568	KORA
KORA-93218	KORA
KORA-57661	KORA
KORA-11198	KORA
KORA-63998	KORA
KORA-60744	KORA
KORA-33871	KORA
KORA-75635	KORA
KORA-72756	KORA
KORA-16045	KORA
KORA-18252	KORA
KORA-65663	KORA
KORA-26483	KORA
KORA-68131	KORA
KORA-92135	KORA
KORA-30862	KORA
KORA-40819	KORA
KORA-70150	KORA
KORA-67322	KORA
KORA-70567	KORA
KORA-40790	KORA
KORA-85256	KORA
KORA-48756	KORA
KORA-12342	KORA
KORA-75075	KORA
KORA-15900	KORA
KORA-22255	KORA
KORA-61290	KORA
KORA-74542	KORA
KORA-35249	KORA
KORA-85131	KORA
KORA-32340	KORA
KORA-82740	KORA
KORA-55442	KORA
KORA-22121	KORA
KORA-13972	KORA
KORA-59847	KORA
KORA-47742	KORA
KORA-41343	KORA
KORA-29137	KORA
KORA-59592	KORA
KORA-26701	KORA
KORA-37502	KORA
KORA-42536	KORA
KORA-95973	KORA
KORA-39319	KORA
KORA-36274	KORA
KORA-16116	KORA
KORA-64090	KORA
KORA-80346	KORA
KORA-32709	KORA
KORA-74050	KORA
KORA-60364	KORA
KORA-31333	KORA
KORA-76570	KORA
KORA-24067	KORA
KORA-79928	KORA
KORA-15695	KORA
KORA-91633	KORA
KORA-96672	KORA
KORA-12057	KORA
KORA-35062	KORA
KORA-28833	KORA
KORA-93822	KORA
KORA-57103	KORA
KORA-88157	KORA
KORA-17768	KORA
KORA-10379	KORA
KORA-88477	KORA
KORA-11000	KORA
KORA-85087	KORA
KORA-84026	KORA
KORA-56781	KORA
KORA-58496	KORA
KORA-54361	KORA
KORA-63921	KORA
KORA-87628	KORA
KORA-93940	KORA
KORA-14962	KORA
KORA-22485	KORA
KORA-17942	KORA
KORA-53351	KORA
KORA-44970	KORA
KORA-65639	KORA
KORA-15070	KORA
KORA-76133	KORA
KORA-80641	KORA
KORA-18786	KORA
KORA-91686	KORA
KORA-73461	KORA
KORA-58905	KORA
KORA-57295	KORA
KORA-85636	KORA
KORA-87210	KORA
KORA-28875	KORA
KORA-69389	KORA
KORA-58302	KORA
KORA-75395	KORA
KORA-96357	KORA
KORA-87948	KORA
KORA-26270	KORA
KORA-73337	KORA
KORA-42792	KORA
KORA-57546	KORA
KORA-80294	KORA
KORA-47182	KORA
KORA-68535	KORA
KORA-62307	KORA
KORA-52037	KORA
KORA-42498	KORA
KORA-14984	KORA
KORA-87909	KORA
KORA-86457	KORA
KORA-71148	KORA
KORA-13728	KORA
KORA-32199	KORA
KORA-69662	KORA
KORA-28037	KORA
KORA-44747	KORA
KORA-38859	KORA
KORA-55275	KORA
KORA-99442	KORA
KORA-36206	KORA
KORA-88717	KORA
KORA-58651	KORA
KORA-29463	KORA
KORA-96529	KORA
KORA-98259	KORA
KORA-71373	KORA
KORA-38523	KORA
KORA-43241	KORA
KORA-67020	KORA
KORA-78973	KORA
KORA-68177	KORA
KORA-94876	KORA
KORA-94512	KORA
KORA-95031	KORA
KORA-26461	KORA
KORA-57444	KORA
KORA-87023	KORA
KORA-74879	KORA
KORA-36995	KORA
KORA-59232	KORA
KORA-96411	KORA
KORA-37352	KORA
KORA-82090	KORA
KORA-47272	KORA
KORA-51555	KORA
KORA-65314	KORA
KORA-21065	KORA
KORA-96562	KORA
KORA-76691	KORA
KORA-64644	KORA
KORA-26371	KORA
KORA-33783	KORA
KORA-28290	KORA
KORA-59034	KORA
KORA-93743	KORA
KORA-47777	KORA
KORA-76298	KORA
