""	"305-5-16641"	"304-4-78826"	"302-2-89334"	"306-6-83608"	"301-1-59020"
"p__Actinobacteriota"	5.04672897196262	2.21184941119043	5.63416850577698	2.77113604316106	2.73650454302512
"p__Bacteroidota"	30.1393052371716	55.4182683507231	27.931974555368	27.4078842498927	22.3588099055763
"p__Campylobacterota"	0	0	0	0	0
"p__Chloroflexi"	0	0	0	0	0
"p__Cyanobacteria"	0.218656321636396	2.97760693147843	0	0	0
"p__Desulfobacterota"	0.25745018515253	0.219659527732015	0.093470076593535	0.453681564588315	0.0783894530554071
"p__Elusimicrobiota"	0	0	0	0	0
"p__Euryarchaeota"	0	0	0	0.44448531665747	0
"p__Firmicutes"	62.4052195380004	38.1749954237598	65.223938725172	66.8046103856293	73.6362016746837
"p__Fusobacteriota"	0	0	0.319356095027911	0	0
"p__Halobacterota"	0	0	0	0	0
"p__Patescibacteria"	0	0	0	0	0
"p__Planctomycetota"	0	0	0	0	0
"p__Proteobacteria"	1.73867042849586	0.884739764476173	0.797092042061535	1.60627797192079	0.926420808836629
"p__Spirochaetota"	0	0	0	0	0
"p__Synergistota"	0	0	0	0.153270798847404	0
"p__Thermoplasmatota"	0	0	0	0	0
"p__UNKPHYLUM"	0	0	0	0	0
"p__Verrucomicrobiota"	0.193969317580674	0.112880590640063	0	0.358653669302924	0.263673614822732
"p__WPS-2"	0	0	0	0	0
