""	"305-5-16641"	"304-4-78826"	"302-2-89334"	"306-6-83608"	"301-1-59020"
"c__Actinobacteria"	4.39781343678364	1.15016169381903	3.40386862261457	1.65532462755196	1.68537324069125
"c__Alphaproteobacteria"	1.17439605007935	0	0	0.0643737355159095	0.220915731337965
"c__Anaerolineae"	0	0	0	0	0
"c__Bacilli"	1.68224299065421	1.79693696991885	3.10009087368558	4.77285267610815	1.45733119543916
"c__Bacteroidia"	30.1393052371716	55.4182683507231	27.931974555368	27.4078842498927	22.3588099055763
"c__Brachyspirae"	0	0	0	0	0
"c__Campylobacteria"	0	0	0	0	0
"c__Clostridia"	58.6986422147769	32.0733418756483	60.9762430221992	60.1679847955367	71.1206128629966
"c__Coriobacteriia"	0.648915535178981	1.06168771737141	2.23029988316241	1.1158114156091	1.05113130233387
"c__Cyanobacteriia"	0	0	0	0	0
"c__Desulfovibrionia"	0.25745018515253	0.219659527732015	0.093470076593535	0.453681564588315	0.0783894530554071
"c__Desulfuromonadia"	0	0	0	0	0
"c__Elusimicrobia"	0	0	0	0	0
"c__Fusobacteriia"	0	0	0.319356095027911	0	0
"c__Gammaproteobacteria"	0.564274378416505	0.884739764476173	0.797092042061535	1.54190423640488	0.705505077498664
"c__Kiritimatiellae"	0	0	0	0	0
"c__Lentisphaeria"	0	0	0	0.128747471031819	0.0391947265277035
"c__Methanobacteria"	0	0	0	0.44448531665747	0
"c__Methanomicrobia"	0	0	0	0	0
"c__Moorellia"	0	0	0	0	0
"c__Negativicutes"	2.02433433256921	4.30471657819269	1.14760482928729	1.86377291398443	1.058257616248
"c__Planctomycetes"	0	0	0	0	0
"c__Saccharimonadia"	0	0	0	0	0
"c__Spirochaetia"	0	0	0	0	0
"c__Synergistia"	0	0	0	0.153270798847404	0
"c__Thermoplasmata"	0	0	0	0	0
"c__UNKCLASS"	0	0	0	0	0
"c__Vampirivibrionia"	0.218656321636396	2.97760693147843	0	0	0
"c__Verrucomicrobiae"	0.193969317580674	0.112880590640063	0	0.229906198271105	0.224478888295029
