""	"305-5-16641"	"304-4-78826"	"302-2-89334"	"306-6-83608"	"301-1-59020"
"o__Acholeplasmatales"	0	0	0	0	0
"o__Acidaminococcales"	0	0.07932149612545	1.05673114371024	0	1.058257616248
"o__Actinomycetales"	0	0	0	0	0
"o__Anaerolineales"	0	0	0	0	0
"o__Bacillales"	0	0	0	0	0
"o__Bacteroidales"	30.1393052371716	55.4182683507231	27.931974555368	27.3159217705843	22.3588099055763
"o__Bifidobacteriales"	4.39781343678364	1.15016169381903	3.40386862261457	1.65532462755196	1.68537324069125
"o__Brachyspirales"	0	0	0	0	0
"o__Bradymonadales"	0	0	0	0	0
"o__Burkholderiales"	0.564274378416505	0.655927756421991	0.698429183435026	0.536447795965913	0.705505077498664
"o__Campylobacterales"	0	0	0	0	0
"o__Chloroplast"	0	0	0	0	0
"o__Christensenellales"	0.246870040557221	0.195252913539569	0.29339218486304	2.92440684200846	0.281489399608053
"o__Clostridiales"	0	0	0.0545242113462287	0	0.295742027436309
"o__ClostridiaUCG-014"	0.232763181096809	0.198303740313625	0	4.56746980565262	0.662747194013896
"o__ClostridiavadinBB60group"	0	0.399658307401306	0	1.13726932744773	0.0285052556565117
"o__Coriobacteriales"	0.648915535178981	1.06168771737141	2.23029988316241	1.1158114156091	1.05113130233387
"o__Corynebacteriales"	0	0	0	0	0
"o__Desulfitibacterales"	0	0	0	0	0
"o__Desulfovibrionales"	0.25745018515253	0.219659527732015	0.093470076593535	0.453681564588315	0.0783894530554071
"o__Elusimicrobiales"	0	0	0	0	0
"o__Enterobacterales"	0	0.228812008054183	0.0986628586265092	1.00545644043897	0
"o__Erysipelotrichales"	1.13560218656322	0.451522362560254	2.30559522264053	4.38047943105879	0.997683947977908
"o__Eubacteriales"	0	0	0	0	0
"o__Flavobacteriales"	0	0	0	0.0919624793084422	0
"o__Fusobacteriales"	0	0	0.319356095027911	0	0
"o__Gastranaerophilales"	0.218656321636396	2.97760693147843	0	0	0
"o__Izemoplasmatales"	0	0	0	0.150205382870456	0
"o__Lachnospirales"	28.4605889613825	17.7832692659711	31.9096455926263	16.9670774324076	27.5004453946196
"o__Lactobacillales"	0.546640804090989	1.28439807187748	0.794495651045047	0	0.402636736148227
"o__Methanobacteriales"	0	0	0	0.44448531665747	0
"o__Methanomassiliicoccales"	0	0	0	0	0
"o__Methanomicrobiales"	0	0	0	0	0
"o__Micrococcales"	0	0	0	0	0
"o__Monoglobales"	0.123435020278611	0.106778937091952	0.786706477995586	0.585494451597082	0.823089257081774
"o__Oligosphaerales"	0	0	0	0	0
"o__Opitutales"	0	0.112880590640063	0	0.0705045674698057	0
"o__Oscillospirales"	29.4198554046905	13.3900787113308	27.7034921459172	33.7195757464288	41.4323890967397
"o__Peptococcales"	0.045847293246341	0	0	0	0
"o__Peptostreptococcales-Tissierellales"	0.169282313524951	0	0.228482409450864	0.266691189994482	0.0962052378407269
"o__Pirellulales"	0	0	0	0	0
"o__Pseudomonadales"	0	0	0	0	0
"o__RF39"	0	0.0610165354811153	0	0.242167862178897	0.0570105113130233
"o__Rhodospirillales"	1.17439605007935	0	0	0.0643737355159095	0.220915731337965
"o__Saccharimonadales"	0	0	0	0	0
"o__Sphingomonadales"	0	0	0	0	0
"o__Spirochaetales"	0	0	0	0	0
"o__Staphylococcales"	0	0	0	0	0
"o__Synergistales"	0	0	0	0.153270798847404	0
"o__UNKORDER"	0	0	0	0	0
"o__Veillonellales-Selenomonadales"	2.02433433256921	4.22539508206724	0.0908736855770479	1.86377291398443	0
"o__Verrucomicrobiales"	0.193969317580674	0	0	0.159401630801299	0.224478888295029
"o__Victivallales"	0	0	0	0.128747471031819	0.0391947265277035
"o__WCHB1-41"	0	0	0	0	0
