""	"305-5-16641"	"304-4-78826"	"302-2-89334"	"306-6-83608"	"301-1-59020"
"f__Acholeplasmataceae"	0	0	0	0	0
"f__Acidaminococcaceae"	0	0.07932149612545	1.05673114371024	0	1.058257616248
"f__Actinomycetaceae"	0	0	0	0	0
"f__Akkermansiaceae"	0.193969317580674	0	0	0.159401630801299	0.224478888295029
"f__Anaerofustaceae"	0	0	0	0	0
"f__Anaerolineaceae"	0	0	0	0	0
"f__Anaerovoracaceae"	0.137541879739023	0	0	0.266691189994482	0.0498841973988954
"f__Arcobacteraceae"	0	0	0	0	0
"f__Atopobiaceae"	0.0493740081114442	0.152541338702788	0	0	0
"f__Bacillaceae"	0	0	0	0	0
"f__Bacteroidaceae"	24.8703932287074	0.244066141924462	20.8256523432429	5.19588008092698	18.9239265989667
"f__BacteroidalesRF16group"	0	0	0	0	0
"f__Barnesiellaceae"	1.79862458120261	0	0.415422562637933	0.141009134939612	0.926420808836629
"f__Bifidobacteriaceae"	4.39781343678364	1.15016169381903	3.40386862261457	1.65532462755196	1.68537324069125
"f__Brachyspiraceae"	0	0	0	0	0
"f__Brevibacteriaceae"	0	0	0	0	0
"f__Butyricicoccaceae"	0.27861047434315	0.231862834828239	0.542645722445801	1.81779167433021	0.228042045252093
"f__Campylobacteraceae"	0	0	0	0	0
"f__Carnobacteriaceae"	0	0	0	0	0
"f__Christensenellaceae"	0.246870040557221	0.195252913539569	0.29339218486304	2.92440684200846	0.281489399608053
"f__Clostridiaceae"	0	0	0.0545242113462287	0	0.295742027436309
"f__Clostridiummethylpentosumgroup"	0	0	0	0	0.0178157847853198
"f__Comamonadaceae"	0	0	0	0	0
"f__Coriobacteriaceae"	0.109328160818198	0.835926536091281	1.78372062832663	1.05450309607014	0.851594512738286
"f__Corynebacteriaceae"	0	0	0	0	0
"f__Defluviitaleaceae"	0.0352671486510316	0	0	0	0
"f__Desulfitibacteraceae"	0	0	0	0	0
"f__Desulfovibrionaceae"	0.25745018515253	0.219659527732015	0.093470076593535	0.453681564588315	0.0783894530554071
"f__Dysgonomonadaceae"	0	0	0	0	0
"f__Eggerthellaceae"	0.490213366249339	0.0732198425773384	0.399844216539011	0.0613083195389615	0.199536789595581
"f__Elusimicrobiaceae"	0	0	0	0	0
"f__Enterobacteriaceae"	0	0.228812008054183	0.0986628586265092	1.00545644043897	0
"f__Enterococcaceae"	0	0	0	0	0
"f__Erwiniaceae"	0	0	0	0	0
"f__Erysipelatoclostridiaceae"	0.888732146005995	0.0945756299957288	2.15760093470077	4.27318987186561	0.848031355781222
"f__Erysipelotrichaceae"	0.246870040557221	0.356946732564525	0.147994287939764	0.107289559193183	0.149652592196686
"f__Eubacteriaceae"	0	0	0	0	0
"f__Eubacteriumcoprostanoligenesgroup"	0.514900370305061	0.530843858685704	0	2.73741646741463	1.50008907892392
"f__FamilyXI"	0	0	0	0	0
"f__FOTU1"	0	2.97760693147843	0	0	0
"f__FOTU10"	0	0	0	0	0
"f__FOTU11"	0	0	0	0	0
"f__FOTU12"	0	0	0	0	0
"f__FOTU13"	0	0	0	0	0
"f__FOTU14"	0	0	0	0	0
"f__FOTU15"	0	0	0	0.0766353994237018	0.0570105113130233
"f__FOTU16"	0	0	0	0	0
"f__FOTU17"	0	0.0457624016108365	0	0	0
"f__FOTU18"	0	0	0	0	0
"f__FOTU19"	0	0	0	0	0
"f__FOTU2"	0.218656321636396	0	0	0	0
"f__FOTU20"	0	0	0	0	0
"f__FOTU21"	0	0	0	0	0
"f__FOTU22"	0	0.0152541338702788	0	0.144074550916559	0
"f__FOTU23"	0	0	0	0	0
"f__FOTU24"	0	0	0	0.0214579118386365	0
"f__FOTU25"	0	0	0	0	0
"f__FOTU26"	0.232763181096809	0.198303740313625	0	4.47550732634418	0.662747194013896
"f__FOTU27"	0	0	0	0	0
"f__FOTU28"	0	0	0	0.0919624793084422	0
"f__FOTU29"	0	0	0	0	0
"f__FOTU3"	0	0	0	0	0
"f__FOTU30"	0	0	0	0	0
"f__FOTU31"	0	0	0	0	0
"f__FOTU32"	0	0	0	0	0
"f__FOTU33"	1.17439605007935	0	0	0.0643737355159095	0.220915731337965
"f__FOTU34"	0	0	0	0	0
"f__FOTU35"	0	0	0	0	0
"f__FOTU36"	0	0.250167795472573	0	0.137943718962663	0
"f__FOTU37"	0	0.0427115748367808	0	0.0153270798847404	0
"f__FOTU38"	0	0	0	0	0
"f__FOTU39"	0	0	0	0.0705045674698057	0
