""	"305-5-16641"	"304-4-78826"	"302-2-89334"	"306-6-83608"	"301-1-59020"
"g__Acetatifactor"	0	0	0	0	0
"g__Acidaminococcus"	0	0.0183049606443346	0	0	0
"g__Acidovorax"	0	0	0	0	0
"g__Acinetobacter"	0	0	0	0	0
"g__Actinobacillus"	0	0	0	0	0
"g__Actinomyces"	0	0	0	0	0
"g__Adlercreutzia"	0.285663904073355	0	0.192132935220044	0.0459812396542211	0.0427578834847675
"g__Agathobacter"	1.63286898254276	0	0	0.0551774875850653	0
"g__Akkermansia"	0.193969317580674	0	0	0.159401630801299	0.224478888295029
"g__Alistipes"	2.65208957855757	0.128134724510342	2.19654679994807	1.0391760161854	1.09032602886157
"g__Allisonella"	0	0	0.0467350382967675	0	0
"g__Allobaculum"	0	0	0	0	0
"g__Alloprevotella"	0	5.29928610653487	0	1.72889461099871	0
"g__Alloscardovia"	0	0	0	0	0
"g__Anaerococcus"	0	0	0	0	0
"g__Anaerofilum"	0	0	0	0	0
"g__Anaerofustis"	0	0	0	0	0
"g__Anaeroplasma"	0	0	0	0	0
"g__Anaerosporomusa"	0	0	0	0	0
"g__Anaerostignum"	0	0	0	0	0
"g__Anaerostipes"	0.86051842708517	0.286777716761242	2.2510710112943	0.484335724357795	1.09388918581864
"g__Anaerotruncus"	0	0	0.0337530832143321	0	0
"g__Anaerovibrio"	0	0	0	0	0
"g__Aquabacterium"	0	0	0	0	0
"g__Arcanobacterium"	0	0	0	0	0
"g__Arcobacter"	0	0	0	0	0
"g__Asteroleplasma"	0	0	0	0	0
"g__Atopobium"	0	0	0	0	0
"g__Bacillus"	0	0	0	0	0
"g__Bacteroides"	24.8703932287074	0.244066141924462	20.8256523432429	5.19588008092698	18.9239265989667
"g__Bacteroidespectinophilusgroup"	0	0	0	0	0
"g__Barnesiella"	1.30488450008817	0	0.327145268077372	0.141009134939612	0.498841973988954
"g__Bifidobacterium"	4.39781343678364	1.15016169381903	3.40386862261457	1.65532462755196	1.68537324069125
"g__Bilophila"	0.25745018515253	0.0427115748367808	0.093470076593535	0.278952853902275	0.0783894530554071
"g__Blautia"	5.15605713278082	1.24473732381475	3.31559132805401	1.98025872110845	2.43363620167469
"g__Brachyspira"	0	0	0	0	0
"g__Brevibacterium"	0	0	0	0	0
"g__Butyricicoccus"	0.27861047434315	0.231862834828239	0.529663767363365	0.116485807124027	0.228042045252093
"g__Butyricimonas"	0	0.122033070962231	0	0.137943718962663	0.0178157847853198
"g__Butyrivibrio"	0.0564274378416505	0.0884739764476173	0	1.4346146772117	0
"g__CAG-352"	0	0	0	0	0
"g__CAG-56"	0.694762828425322	0	0.0726989484616383	0.0153270798847404	0
"g__CAG-873"	0	0	0	0	0
"g__Campylobacter"	0	0	0	0	0
"g__CandidatusSoleaferrea"	0	0	0	0	0
"g__CandidatusStoquefichus"	0	0	0	0	0
"g__Caproiciproducens"	0	0	0	0	0
"g__Catenibacterium"	0	0	0	4.27318987186561	0
"g__Catenisphaera"	0	0	0	0	0
"g__Cellulosilyticum"	0	0	0	0	0
"g__Christensenella"	0.0176335743255158	0	0	0	0
"g__ChristensenellaceaeR-7group"	0.229236466231705	0.195252913539569	0.29339218486304	2.8569676905156	0.281489399608053
"g__Citrobacter"	0	0	0	0	0
