""	"305-5-16641"	"304-4-78826"	"302-2-89334"	"306-6-83608"	"301-1-59020"
"k__Bacteria"	100	100	100	99.5555146833425	100
"k__Archaea"	0	0	0	0.44448531665747	0
"p__Actinobacteriota"	5.04672897196262	2.21184941119043	5.63416850577698	2.77113604316106	2.73650454302512
"p__Bacteroidota"	30.1393052371716	55.4182683507231	27.931974555368	27.4078842498927	22.3588099055763
"p__Campylobacterota"	0	0	0	0	0
"p__Chloroflexi"	0	0	0	0	0
"p__Cyanobacteria"	0.218656321636396	2.97760693147843	0	0	0
"p__Desulfobacterota"	0.25745018515253	0.219659527732015	0.093470076593535	0.453681564588315	0.0783894530554071
"p__Elusimicrobiota"	0	0	0	0	0
"p__Euryarchaeota"	0	0	0	0.44448531665747	0
"p__Firmicutes"	62.4052195380004	38.1749954237598	65.223938725172	66.8046103856293	73.6362016746837
"p__Fusobacteriota"	0	0	0.319356095027911	0	0
"p__Halobacterota"	0	0	0	0	0
"p__Patescibacteria"	0	0	0	0	0
"p__Planctomycetota"	0	0	0	0	0
"p__Proteobacteria"	1.73867042849586	0.884739764476173	0.797092042061535	1.60627797192079	0.926420808836629
"p__Spirochaetota"	0	0	0	0	0
"p__Synergistota"	0	0	0	0.153270798847404	0
"p__Thermoplasmatota"	0	0	0	0	0
"p__UNKPHYLUM"	0	0	0	0	0
"p__Verrucomicrobiota"	0.193969317580674	0.112880590640063	0	0.358653669302924	0.263673614822732
"p__WPS-2"	0	0	0	0	0
"c__Actinobacteria"	4.39781343678364	1.15016169381903	3.40386862261457	1.65532462755196	1.68537324069125
"c__Alphaproteobacteria"	1.17439605007935	0	0	0.0643737355159095	0.220915731337965
"c__Anaerolineae"	0	0	0	0	0
"c__Bacilli"	1.68224299065421	1.79693696991885	3.10009087368558	4.77285267610815	1.45733119543916
"c__Bacteroidia"	30.1393052371716	55.4182683507231	27.931974555368	27.4078842498927	22.3588099055763
"c__Brachyspirae"	0	0	0	0	0
"c__Campylobacteria"	0	0	0	0	0
"c__Clostridia"	58.6986422147769	32.0733418756483	60.9762430221992	60.1679847955367	71.1206128629966
"c__Coriobacteriia"	0.648915535178981	1.06168771737141	2.23029988316241	1.1158114156091	1.05113130233387
"c__Cyanobacteriia"	0	0	0	0	0
"c__Desulfovibrionia"	0.25745018515253	0.219659527732015	0.093470076593535	0.453681564588315	0.0783894530554071
"c__Desulfuromonadia"	0	0	0	0	0
"c__Elusimicrobia"	0	0	0	0	0
"c__Fusobacteriia"	0	0	0.319356095027911	0	0
"c__Gammaproteobacteria"	0.564274378416505	0.884739764476173	0.797092042061535	1.54190423640488	0.705505077498664
"c__Kiritimatiellae"	0	0	0	0	0
"c__Lentisphaeria"	0	0	0	0.128747471031819	0.0391947265277035
"c__Methanobacteria"	0	0	0	0.44448531665747	0
"c__Methanomicrobia"	0	0	0	0	0
"c__Moorellia"	0	0	0	0	0
"c__Negativicutes"	2.02433433256921	4.30471657819269	1.14760482928729	1.86377291398443	1.058257616248
"c__Planctomycetes"	0	0	0	0	0
"c__Saccharimonadia"	0	0	0	0	0
"c__Spirochaetia"	0	0	0	0	0
"c__Synergistia"	0	0	0	0.153270798847404	0
"c__Thermoplasmata"	0	0	0	0	0
"c__UNKCLASS"	0	0	0	0	0
"c__Vampirivibrionia"	0.218656321636396	2.97760693147843	0	0	0
"c__Verrucomicrobiae"	0.193969317580674	0.112880590640063	0	0.229906198271105	0.224478888295029
"o__Acholeplasmatales"	0	0	0	0	0
"o__Acidaminococcales"	0	0.07932149612545	1.05673114371024	0	1.058257616248
"o__Actinomycetales"	0	0	0	0	0
"o__Anaerolineales"	0	0	0	0	0
"o__Bacillales"	0	0	0	0	0
"o__Bacteroidales"	30.1393052371716	55.4182683507231	27.931974555368	27.3159217705843	22.3588099055763
"o__Bifidobacteriales"	4.39781343678364	1.15016169381903	3.40386862261457	1.65532462755196	1.68537324069125
"o__Brachyspirales"	0	0	0	0	0
"o__Bradymonadales"	0	0	0	0	0
"o__Burkholderiales"	0.564274378416505	0.655927756421991	0.698429183435026	0.536447795965913	0.705505077498664
"o__Campylobacterales"	0	0	0	0	0
"o__Chloroplast"	0	0	0	0	0
"o__Christensenellales"	0.246870040557221	0.195252913539569	0.29339218486304	2.92440684200846	0.281489399608053
"o__Clostridiales"	0	0	0.0545242113462287	0	0.295742027436309
"o__ClostridiaUCG-014"	0.232763181096809	0.198303740313625	0	4.56746980565262	0.662747194013896
"o__ClostridiavadinBB60group"	0	0.399658307401306	0	1.13726932744773	0.0285052556565117
