sample	clade	clade_clr
KORA-56386	1	#E5E4E2
std19-S193	1	#E5E4E2
std23-156-113-23	1	#E5E4E2
KORA-83659	1	#E5E4E2
std19-S201	1	#E5E4E2
std18-18105	1	#E5E4E2
std17-519117-f-cm162-kg65	1	#E5E4E2
KORA-37093	1	#E5E4E2
KORA-75395	1	#E5E4E2
std16-31	1	#E5E4E2
std19-S228	1	#E5E4E2
std16-51	1	#E5E4E2
std19-S222	1	#E5E4E2
std16-50	1	#E5E4E2
std16-56	1	#E5E4E2
std19-S177	1	#E5E4E2
KORA-18252	1	#E5E4E2
std19-S181	1	#E5E4E2
std16-26	1	#E5E4E2
KORA-56781	1	#E5E4E2
std18-1814	1	#E5E4E2
KORA-93218	1	#E5E4E2
KORA-22485	1	#E5E4E2
KORA-46071	1	#E5E4E2
KORA-70567	1	#E5E4E2
KORA-86457	1	#E5E4E2
KORA-35062	1	#E5E4E2
std23-152-110-23	1	#E5E4E2
KORA-83471	1	#E5E4E2
std17-591417-m-cm179-kg73	1	#E5E4E2
KORA-58651	1	#E5E4E2
KORA-70620	1	#E5E4E2
std17-590617-f-cm160-kg60	1	#E5E4E2
std23-153-111-23	1	#E5E4E2
std17-574117-f-cm165-kg63	1	#E5E4E2
std17-568417-m-cm190-kg80	1	#E5E4E2
std23-108-21-23	1	#E5E4E2
KORA-31240	1	#E5E4E2
KORA-47568	1	#E5E4E2
std17-549017-m-cm178-kg76	1	#E5E4E2
KORA-61743	1	#E5E4E2
KORA-37290	1	#E5E4E2
KORA-98012	1	#E5E4E2
KORA-79142	1	#E5E4E2
KORA-89594	1	#E5E4E2
KORA-48756	1	#E5E4E2
KORA-21748	1	#E5E4E2
KORA-36995	1	#E5E4E2
KORA-24067	1	#E5E4E2
KORA-62307	1	#E5E4E2
std23-114-55-23	1	#E5E4E2
KORA-88359	1	#E5E4E2
KORA-45610	1	#E5E4E2
std18-18185	1	#E5E4E2
std23-136-93-23	1	#E5E4E2
std17-583417-m-cm183-kg70	1	#E5E4E2
std18-18189	1	#E5E4E2
KORA-18902	1	#E5E4E2
