Unnamed: 0	clade_1	clade_2	clade_3	clade_4
g__Bacteroides	6.909252247	31.5976402	9.281595929	16.02505453
g__Faecalibacterium	6.206242985	7.231174522	5.638869692	9.40926003
g__Roseburia	3.318379717	5.524808239	2.5012488	6.941420502
g__Ruminococcus	2.015498074	3.136652443	4.03885818	6.146113873
g__Subdoligranulum	2.054498262	3.367662291	3.770983488	5.724012669
g__Blautia	2.10823131	3.668108621	2.036774269	3.585575657
g__ChristensenellaceaeR-7group	0.90783482	0.994540121	5.167971474	2.521110011
g__Coprococcus	1.55338337	0.73866721	1.632385542	2.424824554
g__UCG-002	1.86280008	1.963584144	6.142912953	2.410594469
g__LachnospiraceaeNK4A136group	1.926891103	1.813755565	1.238388599	2.294142934
g__Alistipes	1.064815977	3.358152803	3.757824018	2.157702445
g__Bifidobacterium	0.989365936	1.621618292	1.685810343	1.984271891
g__Fusicatenibacter	0.534686676	1.215178198	0.815823244	1.413399171
g__Eubacteriumeligensgroup	0.616452452	1.036775689	0.780451384	1.354221558
g__Lachnospira	0.767663174	1.282582323	0.455047103	1.313343679
g__Parabacteroides	0.853682316	1.917639815	1.343821118	1.305373884
g__Lachnoclostridium	0.870445303	1.905525334	0.675219365	1.085171063
g__UCG-005	0.741753105	0.574610182	2.665638889	0.923528952
g__Eubacteriumsiraeumgroup	0.390636983	0.66661401	1.016522899	0.915881436
g__Anaerostipes	0.513017891	0.951410139	0.527221913	0.911231804
g__Collinsella	0.624557503	0.557623306	1.038713916	0.845591178
g__Dialister	1.605451902	1.255061345	1.054289359	0.844917056
g__Eubacteriumhalliigroup	0.446749135	0.655120604	0.455178824	0.807610562
g__GOTU458	0.444878067	0.265964479	1.427946859	0.801506127
g__Dorea	0.629307659	0.644117903	0.696219084	0.796667451
g__Barnesiella	0.374183194	1.129206277	1.043177215	0.779991149
g__Asteroleplasma	0.262794089	0.040736458	0.052602055	0.778347601
g__Ruminococcustorquesgroup	0.486771475	0.882970078	0.777518894	0.721299471
g__NK4A214group	0.647232964	0.525368508	1.767018379	0.683118375
g__Sutterella	0.835083937	0.962898419	0.548794689	0.647861348
g__Phascolarctobacterium	1.245962684	0.65139699	1.208473831	0.646485635
g__Akkermansia	0.241160318	1.590690981	3.195145981	0.633855846
g__LachnospiraceaeND3007group	0.277141216	0.292505336	0.321160529	0.616340849
g__Prevotella-9	38.71784992	0.210816714	4.550949868	0.571111637
g__Eubacteriumxylanophilumgroup	0.154314008	0.278945757	0.309519893	0.555550486
g__ErysipelotrichaceaeUCG-003	0.241420815	0.483475745	0.249659486	0.533996684
g__Prevotella	1.138920351	0.061398099	0.449476881	0.51444679
g__Eubacteriumruminantiumgroup	0.771857887	0.1370527	0.504611465	0.51175794
g__Butyricicoccus	0.392425018	0.446485917	0.31981187	0.509501201
g__Monoglobus	0.227578328	0.437524179	0.299970684	0.491670721
g__LachnospiraceaeUCG-001	0.208474898	0.236000093	0.126024999	0.367824761
g__RikenellaceaeRC9gutgroup	0.187741651	0.033647751	0.890294523	0.354684473
g__GOTU461	0.35579693	0.281814935	1.127717022	0.341369963
g__Prevotella-7	0.27585475	0.029933562	0.221816665	0.337171748
g__LachnospiraceaeUCG-004	0.302101879	0.424516472	0.12431944	0.333656845
g__Butyrivibrio	0.583476844	0.084260934	1.25451444	0.332025792
g__Streptococcus	0.144517314	0.24200286	0.15942721	0.323733365
g__CAG-56	0.209838952	0.171012014	0.149240478	0.323560272
g__GOTU224	0.222235844	0.333333456	0.471711147	0.321560119
g__Paraprevotella	0.277083663	0.308389199	0.281122359	0.319687921
g__PrevotellaceaeUCG-001	0.006829835	0.005854257	0.004476774	0.314727674
g__UCG-003	0.327437549	0.273711844	0.434566691	0.313808502
g__Escherichia-Shigella	0.161847819	0.523265411	0.659439693	0.308705406
g__Holdemanella	0.402845413	0.115707172	0.58730525	0.306651037
g__PrevotellaceaeNK3B31group	0.582341254	0.216341205	0.22737495	0.28293431
g__CAG-352	0.164966279	0.061779644	0.306471967	0.276216842
g__Alloprevotella	0.714795083	0.085139129	0.226020657	0.275671129
g__Parasutterella	0.094085141	0.42933867	0.205055752	0.264088562
g__GOTU232	0.50220767	0.133398588	1.222229414	0.253126553
g__Clostridiumsensustricto1	0.202970639	0.227864674	0.195665187	0.251921583
g__GOTU26	0.445239266	0.147645443	0.261785005	0.236935305
g__Terrisporobacter	0.16914003	0.128441844	0.241752231	0.225362774
g__GOTU384	0.026758943	0.130378755	0.144480369	0.222451251
g__GOTU231	0.091251759	0.083576151	0.277125217	0.220276622
g__Odoribacter	0.173582751	0.318928632	0.319046549	0.218732495
g__Oscillibacter	0.140090717	0.551830133	0.359421727	0.21655812
g__Ruminococcusgauvreauiigroup	0.129158364	0.174759503	0.146491183	0.212609415
g__Eubacteriumventriosumgroup	0.105127085	0.145319071	0.142295097	0.207073895
g__GOTU229	0.16347504	0.103919396	0.267236518	0.195483736
g__Intestinibacter	0.105338907	0.134405432	0.199377092	0.189243058
g__Colidextribacter	0.112833998	0.327708303	0.233017286	0.175425127
g__GOTU250	0.098777431	0.067390788	0.248742079	0.170088142
g__Flavonifractor	0.095204961	0.423907384	0.254718869	0.164869432
g__GOTU137	0.151074413	0.097567474	0.444929839	0.163964402
g__Succinivibrio	0.49039211	0.086362938	0.027809017	0.157586445
g__GOTU466	0.055507394	0.139263964	0.143560505	0.157076514
